,year,month,intent,police,sex,age,race,place,education
3349,2012,4,Accidental,0,M,37.0,Asian/Pacific Islander,Home,HS/GED
3351,2012,5,Suicide,0,M,76.0,White,Home,Some college
3354,2012,5,Suicide,0,M,59.0,White,Other specified,HS/GED
3356,2012,5,Suicide,0,M,43.0,Asian/Pacific Islander,Home,Some college
3357,2012,4,Suicide,0,M,49.0,White,Street,Less than HS
3360,2012,5,Suicide,0,F,36.0,White,Home,BA+
3361,2012,5,Undetermined,0,M,64.0,White,Home,Less than HS
3362,2012,5,Suicide,0,M,53.0,Hispanic,Trade/service area,Some college
3363,2012,5,Suicide,0,M,96.0,White,Home,Some college
3364,2012,5,Suicide,0,M,59.0,Asian/Pacific Islander,Home,BA+
3366,2012,5,Suicide,0,M,70.0,White,Home,HS/GED
3367,2012,5,Suicide,0,M,19.0,White,Home,Some college
3368,2012,5,Suicide,0,F,21.0,White,Other specified,Some college
3369,2012,4,Suicide,0,M,85.0,White,Other specified,Less than HS
3378,2012,5,Suicide,0,M,63.0,White,Other specified,BA+
3379,2012,5,Suicide,0,M,54.0,White,Home,Some college
3380,2012,5,Suicide,0,M,22.0,White,Home,HS/GED
3386,2012,5,Suicide,0,F,33.0,Asian/Pacific Islander,Home,Some college
3389,2012,5,Suicide,0,M,38.0,Asian/Pacific Islander,Home,BA+
3390,2012,5,Suicide,0,F,22.0,Hispanic,Street,Some college
3391,2012,5,Suicide,0,M,51.0,White,Home,Some college
3394,2012,5,Suicide,0,M,67.0,White,Other specified,Some college
3395,2012,5,Suicide,0,M,62.0,White,Other specified,BA+
3399,2012,5,Suicide,0,M,72.0,White,Home,HS/GED
3400,2012,5,Suicide,0,F,37.0,White,Home,BA+
3401,2012,5,Suicide,0,M,75.0,White,Other specified,HS/GED
3406,2012,5,Suicide,0,M,58.0,Hispanic,Home,HS/GED
3412,2012,5,Undetermined,0,M,29.0,White,Other specified,Some college
3419,2012,5,Suicide,0,M,52.0,Hispanic,Home,Some college
3420,2012,5,Suicide,0,M,38.0,White,Home,Some college
3421,2012,5,Accidental,0,M,19.0,Hispanic,Home,Less than HS
3423,2012,5,Suicide,0,M,46.0,White,Home,Less than HS
3424,2012,5,Suicide,0,M,45.0,White,Trade/service area,HS/GED
3425,2012,5,Suicide,0,M,43.0,Hispanic,Home,Less than HS
3428,2012,5,Suicide,0,M,33.0,White,Other specified,BA+
3429,2012,5,Suicide,0,M,31.0,White,Home,Some college
3430,2012,5,Suicide,0,M,67.0,White,Other specified,HS/GED
3443,2012,5,Suicide,0,F,78.0,White,Home,BA+
3447,2012,5,Suicide,0,M,73.0,White,Other specified,BA+
3449,2012,5,Suicide,0,M,43.0,White,Trade/service area,BA+
3450,2012,5,Suicide,0,M,65.0,White,Other specified,Some college
3451,2012,5,Suicide,0,M,42.0,White,Home,Less than HS
3452,2012,5,Suicide,0,M,44.0,White,Trade/service area,HS/GED
3457,2012,5,Suicide,0,M,63.0,White,Other specified,Some college
3458,2012,5,Suicide,0,M,43.0,White,Street,HS/GED
3459,2012,5,Suicide,0,M,73.0,Black,Home,Less than HS
3461,2012,5,Suicide,0,M,25.0,White,Other specified,BA+
3463,2012,5,Suicide,0,M,38.0,White,Home,BA+
3464,2012,5,Suicide,0,M,33.0,White,Other specified,HS/GED
3471,2012,5,Suicide,0,F,66.0,Asian/Pacific Islander,Home,BA+
3472,2012,5,Suicide,0,M,26.0,White,Other specified,Some college
3473,2012,5,Suicide,0,M,65.0,White,Home,Some college
3474,2012,5,Suicide,0,M,69.0,White,Home,Some college
3476,2012,5,Suicide,0,M,53.0,White,Home,HS/GED
3480,2012,5,Suicide,0,M,71.0,White,Home,HS/GED
3481,2012,5,Suicide,0,M,20.0,White,Other specified,Some college
3482,2012,5,Suicide,0,M,18.0,White,Other specified,HS/GED
3483,2012,5,Suicide,0,M,25.0,Hispanic,Home,HS/GED
3486,2012,5,Suicide,0,M,76.0,White,Home,HS/GED
3488,2012,5,Suicide,0,M,83.0,White,Home,Less than HS
3489,2012,5,Suicide,0,M,80.0,White,Home,Less than HS
3490,2012,5,Suicide,0,M,49.0,Hispanic,Home,Some college
3493,2012,5,Suicide,0,M,62.0,White,Home,HS/GED
3494,2012,5,Suicide,0,M,90.0,White,Home,BA+
3500,2012,5,Suicide,0,M,52.0,White,Home,HS/GED
3502,2012,5,Suicide,0,F,80.0,Hispanic,Other specified,HS/GED
3504,2012,5,Suicide,0,M,80.0,White,Trade/service area,Less than HS
3511,2012,5,Suicide,0,M,28.0,Hispanic,Home,BA+
3512,2012,5,Suicide,0,M,75.0,White,Home,Some college
3515,2012,5,Undetermined,0,M,65.0,White,Other unspecified,BA+
3516,2012,5,Suicide,0,M,64.0,Hispanic,Other specified,HS/GED
3521,2012,5,Suicide,0,M,65.0,Hispanic,Home,Some college
3522,2012,5,Suicide,0,M,43.0,Hispanic,Home,HS/GED
3524,2012,5,Suicide,0,M,49.0,White,Home,Less than HS
3525,2012,5,Accidental,0,M,18.0,Native American/Native Alaskan,Other unspecified,Less than HS
3530,2012,5,Suicide,0,M,42.0,White,Trade/service area,BA+
3532,2012,5,Suicide,0,M,49.0,White,Home,BA+
3533,2012,5,Suicide,0,F,59.0,White,Home,BA+
3535,2012,5,Suicide,0,M,24.0,Hispanic,Trade/service area,HS/GED
3537,2012,5,Suicide,0,M,78.0,White,Home,BA+
3538,2012,5,Suicide,0,M,49.0,White,Trade/service area,BA+
3543,2012,5,Suicide,0,M,54.0,White,Other specified,BA+
3548,2012,5,Suicide,0,M,33.0,White,Street,Some college
3549,2012,5,Suicide,0,M,77.0,White,Home,Some college
3550,2012,5,Suicide,0,M,22.0,Hispanic,Home,Less than HS
3551,2012,5,Suicide,0,M,54.0,White,Other specified,Some college
3554,2012,5,Suicide,0,M,27.0,Hispanic,Home,HS/GED
3555,2012,5,Suicide,0,M,75.0,White,Home,BA+
3556,2012,5,Suicide,0,F,69.0,White,Other specified,HS/GED
3557,2012,5,Suicide,0,M,93.0,White,Home,HS/GED
3558,2012,5,Suicide,0,M,30.0,White,Sports,BA+
3559,2012,5,Suicide,0,M,58.0,White,Home,BA+
3563,2012,5,Suicide,0,M,62.0,Hispanic,Home,HS/GED
3564,2012,5,Suicide,0,F,55.0,White,Home,HS/GED
3565,2012,5,Suicide,0,M,91.0,White,Home,Some college
3568,2012,5,Suicide,0,M,83.0,White,Home,HS/GED
3573,2012,5,Suicide,0,M,47.0,White,Home,HS/GED
3575,2012,5,Suicide,0,F,48.0,White,Home,HS/GED
3576,2012,5,Suicide,0,M,32.0,White,Home,HS/GED
3582,2012,6,Suicide,0,F,63.0,White,Home,BA+
3587,2012,6,Suicide,0,M,68.0,White,Other specified,HS/GED
3588,2012,5,Suicide,0,M,51.0,White,Home,BA+
3590,2012,6,Suicide,0,M,15.0,White,Home,Less than HS
3591,2012,6,Suicide,0,M,82.0,White,Home,Less than HS
3597,2012,5,Suicide,0,M,55.0,White,Home,Some college
3601,2012,5,Suicide,0,M,34.0,White,Other unspecified,Some college
3605,2012,5,Suicide,0,F,35.0,White,Other specified,BA+
3608,2012,6,Suicide,0,F,25.0,White,Home,Some college
3610,2012,5,Suicide,0,F,47.0,White,Home,HS/GED
3614,2012,6,Suicide,0,F,79.0,Black,Home,Some college
3615,2012,6,Suicide,0,M,26.0,White,Home,BA+
3616,2012,6,Suicide,0,M,28.0,Hispanic,Street,HS/GED
3618,2012,6,Suicide,0,M,83.0,White,Farm,BA+
3620,2012,5,Suicide,0,M,30.0,White,Home,BA+
3622,2012,6,Suicide,0,M,20.0,Hispanic,Home,Some college
3624,2012,6,Suicide,0,M,31.0,White,Street,Some college
3626,2012,6,Suicide,0,M,58.0,White,Home,BA+
3628,2012,6,Suicide,0,M,53.0,White,Other specified,HS/GED
3631,2012,6,Suicide,0,M,84.0,White,Home,BA+
3632,2012,6,Suicide,0,M,62.0,Hispanic,Home,Less than HS
3635,2012,6,Suicide,0,M,67.0,White,Home,HS/GED
3641,2012,6,Suicide,0,F,46.0,White,Street,BA+
3644,2012,6,Suicide,0,M,70.0,White,Home,HS/GED
3645,2012,6,Suicide,0,M,81.0,White,Home,Some college
3646,2012,6,Suicide,0,M,24.0,Hispanic,Street,Less than HS
3654,2012,6,Suicide,0,F,80.0,White,Home,BA+
3655,2012,6,Suicide,0,M,70.0,White,Trade/service area,Some college
3656,2012,6,Suicide,0,M,83.0,White,Home,BA+
3657,2012,6,Suicide,0,M,20.0,Hispanic,Other specified,HS/GED
3658,2012,6,Accidental,0,M,44.0,White,Other specified,HS/GED
3666,2012,6,Suicide,0,M,66.0,White,Other specified,BA+
3667,2012,6,Suicide,0,F,75.0,White,Home,HS/GED
3668,2012,6,Suicide,0,M,44.0,White,Home,HS/GED
3670,2012,6,Suicide,0,M,21.0,White,Street,HS/GED
3671,2012,6,Suicide,0,M,23.0,White,Trade/service area,HS/GED
3673,2012,6,Suicide,0,M,53.0,Hispanic,Other specified,Less than HS
3674,2012,6,Suicide,0,F,16.0,White,Home,Less than HS
3676,2012,6,Suicide,0,M,47.0,Hispanic,Other unspecified,Less than HS
3679,2012,6,Suicide,0,F,37.0,Hispanic,Home,BA+
3681,2012,6,Suicide,0,M,81.0,Black,Home,Some college
3682,2012,6,Suicide,0,M,33.0,White,Home,BA+
3683,2012,6,Suicide,0,M,56.0,White,Other specified,BA+
3685,2012,6,Suicide,0,M,61.0,White,Trade/service area,Some college
3688,2012,6,Suicide,0,M,54.0,Asian/Pacific Islander,Industrial/construction,HS/GED
3692,2012,6,Suicide,0,M,47.0,White,Home,BA+
3697,2012,6,Suicide,0,M,34.0,White,Home,Some college
3700,2012,6,Suicide,0,F,50.0,White,Home,HS/GED
3703,2012,6,Suicide,0,M,90.0,White,Home,BA+
3707,2012,6,Suicide,0,M,55.0,White,Trade/service area,HS/GED
3709,2012,6,Suicide,0,M,55.0,White,Other specified,HS/GED
3712,2012,6,Suicide,0,F,91.0,White,Other specified,HS/GED
3713,2012,6,Suicide,0,F,58.0,White,Home,BA+
3717,2012,6,Suicide,0,M,81.0,Hispanic,Home,Some college
3718,2012,6,Suicide,0,M,38.0,White,Home,Some college
3722,2012,6,Suicide,0,M,95.0,White,Home,HS/GED
3725,2012,6,Suicide,0,M,81.0,Asian/Pacific Islander,Home,HS/GED
3726,2012,6,Suicide,0,M,42.0,White,Street,Some college
3727,2012,6,Suicide,0,M,79.0,White,Home,Some college
3730,2012,6,Suicide,0,F,51.0,White,Home,Some college
3731,2012,6,Suicide,0,F,94.0,White,Home,HS/GED
3735,2012,6,Suicide,0,M,17.0,White,Home,HS/GED
3736,2012,6,Suicide,0,M,91.0,White,Home,HS/GED
3738,2012,6,Suicide,0,M,49.0,White,Street,HS/GED
3739,2012,6,Suicide,0,M,54.0,White,School/instiution,HS/GED
3740,2012,6,Suicide,0,F,86.0,White,Home,HS/GED
3741,2012,6,Suicide,0,M,36.0,White,Trade/service area,Some college
3742,2012,6,Suicide,0,M,40.0,White,Other specified,BA+
3745,2012,6,Suicide,0,M,46.0,Hispanic,Home,BA+
3748,2012,6,Suicide,0,M,58.0,White,Other specified,Some college
3749,2012,6,Suicide,0,M,25.0,Hispanic,Home,Less than HS
3753,2012,6,Suicide,0,M,90.0,White,Home,HS/GED
3764,2012,6,Suicide,0,M,21.0,Hispanic,Other unspecified,HS/GED
3765,2012,6,Suicide,0,M,35.0,Hispanic,Home,Less than HS
3766,2012,6,Suicide,0,M,58.0,White,Trade/service area,HS/GED
3767,2012,6,Suicide,0,M,63.0,White,Other specified,BA+
3770,2012,6,Suicide,0,M,55.0,White,Home,Some college
3772,2012,6,Suicide,0,M,82.0,White,Home,Some college
3773,2012,6,Suicide,0,M,21.0,White,Other specified,HS/GED
3774,2012,5,Suicide,0,M,60.0,White,Other specified,HS/GED
3777,2012,6,Suicide,0,M,21.0,Black,Street,Some college
3779,2012,6,Suicide,0,M,52.0,Native American/Native Alaskan,Home,Less than HS
3780,2012,6,Suicide,0,M,41.0,Hispanic,Home,Less than HS
3784,2012,6,Suicide,0,M,24.0,Hispanic,Street,HS/GED
3785,2012,6,Suicide,0,M,50.0,White,Home,HS/GED
3786,2012,6,Suicide,0,M,75.0,White,Home,Some college
3787,2012,6,Suicide,0,M,61.0,White,Home,Some college
3788,2012,6,Suicide,0,M,17.0,Hispanic,Home,Less than HS
3789,2012,6,Suicide,0,M,46.0,White,Home,Some college
3792,2012,6,Suicide,0,M,41.0,White,Home,BA+
3793,2012,6,Suicide,0,M,72.0,Asian/Pacific Islander,Other unspecified,BA+
3794,2012,6,Suicide,0,M,52.0,White,Home,HS/GED
3795,2012,6,Suicide,0,M,19.0,Hispanic,Trade/service area,Less than HS
3798,2012,6,Suicide,0,M,86.0,White,Home,HS/GED
3799,2012,6,Suicide,0,M,47.0,Hispanic,Home,Less than HS
3803,2012,6,Suicide,0,M,78.0,Hispanic,Other specified,HS/GED
3811,2012,6,Suicide,0,M,78.0,White,Home,BA+
3816,2012,6,Suicide,0,M,51.0,White,Trade/service area,HS/GED
3827,2012,6,Suicide,0,M,42.0,Hispanic,Home,Less than HS
3829,2012,6,Suicide,0,F,21.0,White,Home,Some college
3831,2012,6,Suicide,0,M,38.0,Hispanic,Trade/service area,Less than HS
3832,2012,6,Suicide,0,F,25.0,Asian/Pacific Islander,Other specified,Some college
3834,2012,6,Suicide,0,M,46.0,White,Other specified,HS/GED
3835,2012,6,Suicide,0,M,40.0,Asian/Pacific Islander,Home,BA+
3838,2012,6,Suicide,0,M,63.0,White,Home,HS/GED
3842,2012,6,Undetermined,0,F,43.0,White,Home,Some college
3843,2012,6,Suicide,0,M,44.0,Hispanic,Other specified,Less than HS
3846,2012,6,Suicide,0,F,48.0,White,Home,HS/GED
3849,2012,6,Suicide,0,F,66.0,White,Home,HS/GED
3850,2012,6,Suicide,0,M,63.0,White,Trade/service area,BA+
3851,2012,6,Suicide,0,M,22.0,Asian/Pacific Islander,Home,Some college
3852,2012,6,Suicide,0,F,54.0,White,Other specified,Some college
3855,2012,6,Suicide,0,F,45.0,White,Home,HS/GED
3856,2012,7,Suicide,0,M,32.0,White,Home,BA+
3862,2012,6,Suicide,0,F,88.0,White,Home,HS/GED
3863,2012,6,Suicide,0,F,44.0,White,Home,Some college
3865,2012,7,Suicide,0,F,64.0,White,Home,Some college
3866,2012,7,Suicide,0,M,37.0,White,Street,Some college
3874,2012,6,Suicide,0,M,25.0,Black,Other specified,HS/GED
3880,2012,6,Suicide,0,M,88.0,White,Other specified,BA+
3883,2012,7,Suicide,0,M,22.0,Asian/Pacific Islander,Trade/service area,Some college
3885,2012,7,Suicide,0,M,37.0,White,Other unspecified,Some college
3891,2012,7,Suicide,0,F,56.0,Hispanic,Home,Some college
3892,2012,7,Suicide,0,M,24.0,White,Home,HS/GED
3893,2012,7,Suicide,0,F,55.0,White,Home,HS/GED
3895,2012,7,Suicide,0,M,44.0,Asian/Pacific Islander,Home,HS/GED
3896,2012,7,Suicide,0,F,44.0,White,Home,Some college
3897,2012,7,Undetermined,0,M,3.0,White,Home,Less than HS
3898,2012,6,Suicide,0,F,62.0,White,Home,BA+
3899,2012,6,Suicide,0,M,83.0,White,Home,Some college
3901,2012,6,Suicide,0,F,29.0,White,Street,Some college
3903,2012,7,Suicide,0,M,48.0,White,Home,BA+
3904,2012,7,Suicide,0,M,79.0,White,Home,BA+
3905,2012,7,Suicide,0,M,27.0,White,Street,HS/GED
3906,2012,6,Suicide,0,M,68.0,White,Home,Some college
3908,2012,7,Suicide,0,M,40.0,White,Other specified,BA+
3909,2012,7,Suicide,0,M,73.0,White,Other specified,Some college
3911,2012,7,Suicide,0,M,23.0,Hispanic,Home,HS/GED
3914,2012,7,Suicide,0,M,21.0,White,Home,Some college
3915,2012,7,Suicide,0,M,55.0,White,Home,Less than HS
3924,2012,7,Suicide,0,F,60.0,White,Home,BA+
3935,2012,7,Suicide,0,F,63.0,White,Home,BA+
3937,2012,7,Suicide,0,M,79.0,Hispanic,Home,BA+
3939,2012,7,Suicide,0,M,61.0,White,Home,HS/GED
3940,2012,7,Accidental,0,M,43.0,White,Home,HS/GED
3941,2012,7,Suicide,0,M,67.0,White,Home,Less than HS
3945,2012,6,Suicide,0,M,69.0,White,Trade/service area,BA+
3946,2012,6,Suicide,0,F,56.0,White,Trade/service area,BA+
3947,2012,7,Suicide,0,M,78.0,White,Home,HS/GED
3953,2012,7,Suicide,0,M,73.0,White,Home,BA+
3956,2012,7,Suicide,0,M,43.0,White,Home,Some college
3957,2012,7,Suicide,0,M,69.0,White,Home,HS/GED
3962,2012,7,Suicide,0,F,48.0,White,Home,Some college
3968,2012,7,Suicide,0,M,66.0,Hispanic,Home,Some college
3969,2012,7,Suicide,0,M,45.0,White,Home,BA+
3970,2012,7,Accidental,0,M,17.0,White,Home,Less than HS
3971,2012,7,Suicide,0,M,62.0,White,Trade/service area,HS/GED
3972,2012,7,Suicide,0,M,52.0,White,Home,Some college
3975,2012,7,Suicide,0,F,59.0,Black,Home,BA+
3978,2012,7,Suicide,0,M,46.0,White,Home,HS/GED
3979,2012,7,Suicide,0,M,56.0,Hispanic,Home,HS/GED
3980,2012,7,Suicide,0,M,55.0,White,Home,BA+
3981,2012,7,Suicide,0,M,60.0,White,Other specified,HS/GED
3985,2012,7,Suicide,0,M,64.0,White,Street,BA+
3988,2012,7,Suicide,0,M,86.0,White,Home,HS/GED
3990,2012,7,Suicide,0,M,56.0,White,Street,Some college
3991,2012,7,Suicide,0,M,56.0,Hispanic,Home,Some college
3993,2012,7,Suicide,0,M,46.0,Hispanic,Home,HS/GED
3994,2012,7,Suicide,0,M,30.0,White,Other unspecified,BA+
3995,2012,7,Suicide,0,F,24.0,White,Home,BA+
3998,2012,7,Suicide,0,M,53.0,White,Street,HS/GED
3999,2012,7,Suicide,0,M,51.0,White,Other specified,BA+
4006,2012,7,Suicide,0,F,54.0,White,Home,HS/GED
4009,2012,7,Suicide,0,M,81.0,White,Home,Some college
4013,2012,7,Suicide,0,M,88.0,White,Home,HS/GED
4016,2012,7,Suicide,0,M,41.0,White,Other specified,HS/GED
4017,2012,7,Suicide,0,M,60.0,White,Home,HS/GED
4018,2012,7,Suicide,0,M,60.0,White,Home,Less than HS
4024,2012,7,Suicide,0,M,23.0,Hispanic,Home,Less than HS
4027,2012,7,Undetermined,0,M,22.0,Black,Home,HS/GED
4031,2012,7,Suicide,0,F,45.0,White,Home,Some college
4037,2012,7,Accidental,0,M,55.0,White,Other unspecified,Some college
4038,2012,7,Suicide,0,M,55.0,White,Home,HS/GED
4040,2012,7,Suicide,0,M,87.0,White,Home,BA+
4042,2012,7,Suicide,0,F,62.0,White,Home,BA+
4044,2012,7,Suicide,0,M,58.0,White,Home,HS/GED
4046,2012,7,Suicide,0,M,61.0,White,Home,BA+
4047,2012,7,Suicide,0,M,19.0,White,Home,Less than HS
4049,2012,7,Suicide,0,M,29.0,White,Other specified,Some college
4050,2012,7,Suicide,0,M,17.0,White,Home,HS/GED
4051,2012,7,Suicide,0,M,21.0,Hispanic,Home,Some college
4052,2012,7,Suicide,0,F,43.0,Black,Home,Some college
4062,2012,7,Suicide,0,M,67.0,White,Home,Some college
4065,2012,7,Suicide,0,M,74.0,White,Home,BA+
4066,2012,7,Suicide,0,F,30.0,Hispanic,Other specified,Some college
4067,2012,7,Suicide,0,M,48.0,White,Other specified,BA+
4070,2012,7,Suicide,0,M,82.0,White,Home,BA+
4073,2012,7,Suicide,0,M,54.0,White,Home,Some college
4074,2012,7,Suicide,0,M,55.0,White,Farm,HS/GED
4075,2012,7,Suicide,0,F,27.0,White,Home,Some college
4076,2012,7,Suicide,0,F,76.0,White,Home,HS/GED
4077,2012,7,Suicide,0,M,67.0,Hispanic,Home,HS/GED
4080,2012,7,Suicide,0,M,41.0,White,Home,BA+
4084,2012,7,Suicide,0,M,34.0,White,Home,HS/GED
4085,2012,7,Suicide,0,M,82.0,White,Home,Some college
4086,2012,7,Suicide,0,M,28.0,White,Other unspecified,Some college
4094,2012,7,Suicide,0,M,44.0,White,Home,HS/GED
4095,2012,7,Suicide,0,M,59.0,White,Other specified,HS/GED
4097,2012,7,Undetermined,0,M,23.0,Hispanic,Home,Less than HS
4104,2012,7,Suicide,0,M,59.0,White,Home,Less than HS
4105,2012,7,Suicide,0,M,49.0,White,Home,BA+
4106,2012,7,Suicide,0,M,75.0,White,Home,Some college
4111,2012,7,Suicide,0,M,60.0,White,Street,HS/GED
4112,2012,7,Suicide,0,M,69.0,White,Street,HS/GED
4116,2012,7,Suicide,0,M,54.0,White,Home,BA+
4117,2012,8,Suicide,0,M,25.0,Asian/Pacific Islander,Sports,BA+
4118,2012,7,Suicide,0,M,36.0,White,Other specified,BA+
4123,2012,8,Suicide,0,M,68.0,White,Home,BA+
4124,2012,8,Suicide,0,M,79.0,Hispanic,Home,HS/GED
4130,2012,8,Suicide,0,M,42.0,White,Home,Some college
4131,2012,8,Suicide,0,M,54.0,White,Other specified,BA+
4133,2012,7,Suicide,0,M,53.0,White,Home,Some college
4134,2012,8,Suicide,0,M,54.0,White,Home,HS/GED
4136,2012,7,Suicide,0,M,34.0,Hispanic,Home,HS/GED
4141,2012,8,Suicide,0,M,68.0,White,Home,HS/GED
4146,2012,8,Suicide,0,M,59.0,White,Home,Some college
4147,2012,8,Suicide,0,M,72.0,White,Home,HS/GED
4150,2012,8,Suicide,0,M,56.0,White,Trade/service area,HS/GED
4152,2012,8,Suicide,0,M,89.0,White,Home,Less than HS
4153,2012,8,Suicide,0,M,78.0,White,Home,HS/GED
4155,2012,8,Suicide,0,M,73.0,White,Home,Some college
4160,2012,8,Suicide,0,M,25.0,Hispanic,Home,Less than HS
4161,2012,8,Suicide,0,M,76.0,White,Home,BA+
4162,2012,8,Suicide,0,M,13.0,White,Home,Less than HS
4163,2012,8,Suicide,0,M,31.0,Hispanic,Trade/service area,HS/GED
4164,2012,8,Suicide,0,M,70.0,White,Home,BA+
4169,2012,8,Suicide,0,M,47.0,Hispanic,Home,Less than HS
4173,2012,7,Suicide,0,M,19.0,Hispanic,Home,Less than HS
4176,2012,8,Suicide,0,M,22.0,Asian/Pacific Islander,Home,Some college
4177,2012,7,Suicide,0,M,75.0,White,Home,BA+
4178,2012,8,Suicide,0,M,34.0,White,Trade/service area,BA+
4179,2012,8,Suicide,0,M,59.0,White,Home,BA+
4180,2012,8,Suicide,0,M,65.0,White,Other unspecified,Some college
4184,2012,8,Suicide,0,M,88.0,White,Home,Some college
4186,2012,8,Suicide,0,M,26.0,White,Home,BA+
4188,2012,8,Suicide,0,M,32.0,Native American/Native Alaskan,Home,Some college
4189,2012,8,Suicide,0,M,78.0,White,Home,BA+
4190,2012,8,Suicide,0,M,81.0,White,Home,Some college
4191,2012,8,Suicide,0,M,69.0,White,Home,Some college
4192,2012,8,Suicide,0,F,35.0,White,Trade/service area,BA+
4193,2012,8,Suicide,0,M,72.0,White,Home,BA+
4196,2012,8,Suicide,0,M,80.0,White,Home,Some college
4198,2012,8,Suicide,0,M,48.0,Asian/Pacific Islander,Other specified,BA+
4200,2012,8,Suicide,0,M,66.0,Asian/Pacific Islander,Home,HS/GED
4201,2012,8,Suicide,0,M,35.0,Hispanic,Home,HS/GED
4204,2012,8,Suicide,0,M,59.0,White,Other specified,BA+
4205,2012,8,Suicide,0,M,53.0,Black,Home,BA+
4209,2012,8,Suicide,0,M,30.0,White,Home,BA+
4210,2012,8,Suicide,0,M,51.0,White,Home,Some college
4214,2012,8,Suicide,0,M,48.0,Black,Home,Some college
4216,2012,8,Suicide,0,M,18.0,White,Home,Less than HS
4218,2012,8,Suicide,0,M,79.0,White,Other unspecified,Some college
4219,2012,8,Suicide,0,M,30.0,White,Home,HS/GED
4223,2012,8,Suicide,0,M,67.0,White,Home,Some college
4226,2012,8,Suicide,0,M,42.0,White,Home,HS/GED
4230,2012,8,Suicide,0,F,51.0,Hispanic,Home,HS/GED
4231,2012,2,Suicide,0,F,72.0,White,Home,Some college
4233,2012,8,Suicide,0,M,83.0,White,Home,HS/GED
4234,2012,8,Suicide,0,M,56.0,White,Other specified,HS/GED
4239,2012,8,Suicide,0,M,77.0,Hispanic,Other specified,Less than HS
4240,2012,8,Suicide,0,M,59.0,Asian/Pacific Islander,Trade/service area,BA+
4241,2012,8,Suicide,0,M,68.0,White,Trade/service area,BA+
4243,2012,8,Suicide,0,M,50.0,White,Other specified,Some college
4246,2012,7,Suicide,0,M,46.0,White,Other specified,HS/GED
4249,2012,8,Suicide,0,M,44.0,Black,Street,Some college
4252,2012,8,Suicide,0,M,56.0,Asian/Pacific Islander,Home,HS/GED
4256,2012,8,Suicide,0,F,33.0,White,Home,HS/GED
4257,2012,8,Suicide,0,M,86.0,White,Home,Less than HS
4261,2012,8,Suicide,0,M,28.0,Asian/Pacific Islander,Home,BA+
4262,2012,8,Suicide,0,M,43.0,White,Home,Some college
4264,2012,8,Suicide,0,M,49.0,White,Other specified,Some college
4267,2012,8,Suicide,0,M,91.0,White,Home,HS/GED
4276,2012,8,Suicide,0,F,54.0,White,Home,Some college
4279,2012,8,Suicide,0,M,60.0,White,Trade/service area,BA+
4280,2012,8,Suicide,0,M,48.0,White,Home,HS/GED
4282,2012,8,Suicide,0,M,40.0,White,Home,HS/GED
4284,2012,8,Suicide,0,M,56.0,White,Street,BA+
4286,2012,8,Suicide,0,M,27.0,White,Other specified,HS/GED
4287,2012,6,Suicide,0,M,59.0,White,Other specified,BA+
4290,2012,8,Suicide,0,M,49.0,White,Home,Some college
4291,2012,8,Suicide,0,M,77.0,White,Street,BA+
4292,2012,8,Suicide,0,M,43.0,White,Home,HS/GED
4294,2012,8,Suicide,0,M,38.0,White,Home,Some college
4296,2012,8,Suicide,0,M,51.0,Hispanic,Home,Some college
4297,2012,8,Suicide,0,M,47.0,White,Home,HS/GED
4299,2012,8,Suicide,0,M,57.0,Hispanic,Street,Some college
4300,2012,8,Suicide,0,M,43.0,White,Other specified,HS/GED
4301,2012,8,Suicide,0,M,30.0,Hispanic,Street,Some college
4303,2012,8,Suicide,0,M,79.0,Hispanic,Home,Less than HS
4308,2012,8,Suicide,0,M,69.0,White,Home,BA+
4311,2012,8,Suicide,0,M,45.0,White,Home,BA+
4312,2012,8,Suicide,0,M,44.0,Hispanic,Street,Some college
4313,2012,8,Suicide,0,M,56.0,White,Street,HS/GED
4315,2012,8,Accidental,0,M,30.0,White,Home,Some college
4325,2012,8,Suicide,0,M,35.0,White,Home,HS/GED
4326,2012,8,Suicide,0,M,30.0,Hispanic,Home,Some college
4331,2012,8,Suicide,0,M,25.0,White,Home,HS/GED
4332,2012,7,Suicide,0,M,50.0,White,Home,HS/GED
4336,2012,8,Suicide,0,M,18.0,Asian/Pacific Islander,Other specified,HS/GED
4340,2012,8,Suicide,0,M,40.0,Hispanic,Farm,HS/GED
4344,2012,8,Suicide,0,M,63.0,White,Home,BA+
4346,2012,8,Suicide,0,M,81.0,White,Home,BA+
4352,2012,8,Suicide,0,M,52.0,White,Home,HS/GED
4353,2012,8,Suicide,0,M,30.0,Black,Home,HS/GED
4356,2012,8,Suicide,0,M,37.0,White,Home,BA+
4361,2012,8,Suicide,0,M,67.0,White,Trade/service area,BA+
4362,2012,8,Suicide,0,F,82.0,White,Home,HS/GED
4365,2012,8,Accidental,0,F,49.0,White,Home,HS/GED
4368,2012,8,Suicide,0,M,25.0,White,Other specified,Some college
4377,2012,8,Suicide,0,M,42.0,White,Other specified,Less than HS
4378,2012,8,Suicide,0,M,78.0,White,Street,Some college
4379,2012,8,Suicide,0,M,47.0,White,Other specified,HS/GED
4384,2012,8,Suicide,0,M,39.0,Native American/Native Alaskan,Other unspecified,HS/GED
4391,2012,9,Suicide,0,M,32.0,White,Other unspecified,BA+
